id,max_cycle,min_RUL
1,192,0
2,287,0
3,179,0
4,189,0
5,269,0
6,188,0
7,259,0
8,150,0
9,201,0
10,222,0
11,240,0
12,170,0
13,163,0
14,180,0
15,207,0
16,209,0
17,276,0
18,195,0
19,158,0
20,234,0
21,195,0
22,202,0
23,168,0
24,147,0
25,230,0
26,199,0
27,156,0
28,165,0
29,163,0
30,194,0
31,234,0
32,191,0
33,200,0
34,195,0
35,181,0
36,158,0
37,170,0
38,194,0
39,128,0
40,188,0
41,216,0
42,196,0
43,207,0
44,192,0
45,158,0
46,256,0
47,214,0
48,231,0
49,215,0
50,198,0
51,213,0
52,213,0
53,195,0
54,257,0
55,193,0
56,275,0
57,137,0
58,147,0
59,231,0
60,172,0
61,185,0
62,180,0
63,174,0
64,283,0
65,153,0
66,202,0
67,313,0
68,199,0
69,362,0
70,137,0
71,208,0
72,213,0
73,213,0
74,166,0
75,229,0
76,210,0
77,154,0
78,231,0
79,199,0
80,185,0
81,240,0
82,214,0
83,293,0
84,267,0
85,188,0
86,278,0
87,178,0
88,213,0
89,217,0
90,154,0
91,135,0
92,341,0
93,155,0
94,258,0
95,283,0
96,336,0
97,202,0
98,156,0
99,185,0
100,200,0
